id,Aerial Duels won,Age,Assists,Attacking options created,Attempted Passes,Blocks,Clearances,Country,Expected Goal Contributions,Interceptions,Open Play Goals,Open Play Expected Goals,Percentage of Passes Completed,Progressive Passes Rec,Progressive Passes,Progressive Carries,Shots,Successful Dribbles,Touches in attacking penalty area,Tackles,Value at beginning of 2020/21 season,Value at beginning of 2021/22 season,Value at beginning of 2022/23 season,Value at beginning of 2023/24 season
917,1.3,23,0.11,3.68,31.8,0.69,0.97,42,0.16,1.1,0.06,0.2,74.4,8.6,4.24,2.81,2.41,1.61,4.36,1.89,0.2,0.8,1.3,1.2
432,0.2,21,0.17,3.49,29.5,0.52,0.0,49,0.25,0.2,0.0,0.16,72.8,8.21,3.32,6.47,1.75,1.4,6.82,0.87,0.4,0.0,1.0,2.5
948,0.0,24,0.28,2.99,27.5,0.76,0.36,26,0.26,0.2,0.12,0.2,69.3,6.95,2.45,3.62,1.41,0.88,3.98,0.72,7.5,2.5,1.8,6.0
989,2.1,25,0.24,2.44,23.5,0.76,0.81,13,0.14,0.3,0.33,0.39,68.5,5.46,1.8,1.66,2.89,1.09,4.08,1.04,10.0,10.0,9.0,8.0
887,2.9,26,0.05,1.19,80.4,1.06,3.64,67,0.04,1.5,0.05,0.02,90.2,0.19,4.81,1.2,0.21,0.14,0.7,1.57,2.0,6.5,9.0,60.0
983,0.1,32,0.13,3.44,73.2,0.74,1.14,61,0.16,0.7,0.27,0.15,87.0,10.97,3.95,2.61,0.94,1.07,3.41,2.54,10.0,12.0,12.0,8.0
1531,1.3,18,0.0,2.08,47.3,0.99,0.57,61,0.06,1.5,0.14,0.12,77.8,0.28,4.25,1.42,1.13,1.13,0.71,2.13,0.0,0.0,1.0,13.0
1125,0.7,32,0.1,2.73,41.6,1.27,1.85,45,0.15,1.1,0.03,0.08,76.5,1.88,3.67,1.2,1.07,0.91,0.68,1.33,3.0,1.6,1.0,1.3
277,0.9,29,0.15,1.71,41.5,1.63,2.09,18,0.17,1.8,0.05,0.09,74.9,0.41,3.73,0.2,0.97,0.41,2.14,2.65,4.0,8.0,10.0,16.0
1318,0.2,20,0.04,4.22,65.4,1.27,0.34,61,0.24,0.7,0.22,0.25,86.4,4.99,8.15,3.09,1.08,1.64,2.64,1.71,30.0,80.0,80.0,100.0
1567,1.0,24,0.17,1.94,44.8,1.18,1.85,23,0.13,1.7,0.17,0.08,82.3,6.07,2.36,0.84,0.51,1.35,1.01,2.19,0.4,1.0,1.2,2.0
358,0.6,29,0.12,1.82,36.1,0.87,1.11,13,0.13,0.9,0.16,0.06,82.2,5.4,2.23,2.43,0.74,0.7,1.24,1.85,0.7,2.0,1.8,4.0
898,1.2,29,0.17,1.63,36.5,1.81,2.68,28,0.06,1.8,0.0,0.03,70.2,1.21,2.24,0.78,1.21,0.69,0.26,2.33,2.0,1.8,1.8,1.2
236,1.0,31,0.24,2.16,11.6,0.38,0.24,21,0.14,0.1,0.72,0.81,66.1,5.66,0.91,1.29,3.36,0.58,5.95,0.43,22.5,20.0,18.0,16.0
757,1.1,31,0.04,1.55,62.2,1.11,2.1,47,0.03,0.8,0.04,0.08,83.4,2.02,6.29,1.77,0.62,0.21,0.95,2.55,5.0,8.0,10.0,10.0
1415,0.9,26,0.09,2.36,55.9,1.48,1.17,68,0.05,1.2,0.27,0.14,84.7,1.17,5.71,1.66,0.9,1.21,1.08,2.56,46.0,25.0,28.0,40.0
1640,1.3,25,0.04,2.02,41.6,1.18,1.06,26,0.06,1.2,0.12,0.11,79.6,1.14,3.34,0.57,0.57,0.37,1.47,2.2,1.8,10.0,12.0,20.0
